age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,income
Mid-adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Partner,Asian-Pac-Islander,Male,Insanity,>50K
Middle-age,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Some-college,Married-civ-spouse,Farming-fishing,Partner,White,Male,Insanity,>50K
Senior,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,Partner,White,Male,Full-time,>50K
Mid-adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Partner,White,Female,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Adm-clerical,Partner,Asian-Pac-Islander,Male,Middle,>50K
Middle-age,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Insanity,>50K
Mid-adult,Self-emp-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Prof-school,Married-civ-spouse,Sales,Partner,White,Male,Insanity,>50K
Middle-age,Private,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Middle,>50K
Middle-age,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Partner,White,Female,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Insanity,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Female,Part-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Senior,Private,Bachelors,Widowed,Exec-managerial,Not-in-family,White,Male,Full-time,>50K
Senior,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Insanity,>50K
Senior,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Middle,>50K
Middle-age,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Senior,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Senior,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Senior,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Senior,Private,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Young-adult,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,<=50K
Senior,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Partner,White,Female,Full-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,<=50K
Senior,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Partner,White,Male,Part-time,>50K
Young-adult,Private,Some-college,Married-civ-spouse,Adm-clerical,Partner,Black,Female,Part-time,<=50K
Mid-adult,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,<=50K
Young-adult,Private,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,<=50K
Senior,Private,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Middle,>50K
Senior,Self-emp-not-inc,Doctorate,Married-civ-spouse,Sales,Partner,White,Male,Middle,>50K
Senior,Private,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Senior,Private,Some-college,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Senior,State-gov,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Sales,Partner,Black,Male,Full-time,<=50K
Middle-age,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Young-adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Senior,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Senior,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Partner,White,Male,Full-time,<=50K
Senior,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Partner,White,Male,Insanity,<=50K
Middle-age,Private,Elementary,Divorced,Craft-repair,Not-in-family,White,Female,Full-time,<=50K
Young-adult,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,Full-time,<=50K
Middle-age,Local-gov,HS-grad,Widowed,Farming-fishing,Unmarried,White,Male,Full-time,<=50K
Senior,Private,Elementary,Never-married,Handlers-cleaners,Not-in-family,Black,Male,Full-time,<=50K
Senior,State-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Middle-age,Self-emp-inc,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Private,Bachelors,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,Full-time,<=50K
Young-adult,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,Middle,<=50K
Middle-age,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,Full-time,<=50K
Middle-age,Local-gov,HS-grad,Separated,Protective-serv,Other-relative,Black,Female,Full-time,<=50K
Young-adult,State-gov,Some-college,Separated,Exec-managerial,Own-child,White,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,Masters,Divorced,Sales,Unmarried,White,Female,Full-time,<=50K
Middle-age,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,Full-time,<=50K
Middle-age,Private,HS-grad,Never-married,Adm-clerical,Other-relative,Black,Female,Full-time,<=50K
Young-adult,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,Prof-school,Divorced,Other-service,Not-in-family,White,Female,Middle,<=50K
Senior,Private,Bachelors,Widowed,Prof-specialty,Not-in-family,White,Male,Full-time,>50K
Senior,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Senior,Private,Elementary,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Middle-age,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Female,Full-time,<=50K
Middle-age,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,Full-time,<=50K
Young-adult,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Own-child,White,Male,Part-time,<=50K
Mid-adult,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,Insanity,<=50K
Mid-adult,Self-emp-not-inc,Some-college,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,Full-time,<=50K
Middle-age,Private,Bachelors,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,Full-time,<=50K
Mid-adult,Private,Some-college,Separated,Machine-op-inspct,Not-in-family,White,Male,Full-time,>50K
Middle-age,State-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Male,Middle,>50K
Young-adult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,Full-time,>50K
Middle-age,Federal-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,Full-time,>50K
Young-adult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,Full-time,>50K
Young-adult,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Full-time,<=50K
Young-adult,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,Full-time,>50K
Mid-adult,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Private,HS,Divorced,Craft-repair,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Middle-age,Private,Some-college,Widowed,Adm-clerical,Unmarried,White,Female,Middle,>50K
Mid-adult,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,Insanity,<=50K
Middle-age,Federal-gov,Bachelors,Divorced,Tech-support,Not-in-family,White,Male,Full-time,>50K
Middle-age,State-gov,Doctorate,Never-married,Exec-managerial,Not-in-family,White,Female,Full-time,>50K
Middle-age,Self-emp-inc,Some-college,Never-married,Sales,Not-in-family,White,Male,Full-time,<=50K
Middle-age,Private,Some-college,Widowed,Farming-fishing,Not-in-family,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,Full-time,>50K
Senior,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Senior,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Part-time,>50K
Senior,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Senior,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Middle,>50K
Mid-adult,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,Full-time,<=50K
Young-adult,Private,HS,Widowed,Adm-clerical,Unmarried,White,Female,Middle,<=50K
Young-adult,Self-emp-not-inc,Bachelors,Never-married,Adm-clerical,Own-child,White,Male,Full-time,>50K
Middle-age,Local-gov,HS,Widowed,Handlers-cleaners,Unmarried,White,Male,Full-time,>50K
Young-adult,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,Full-time,>50K
Senior,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,Full-time,<=50K
Senior,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,Middle,<=50K
Senior,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,Full-time,<=50K
Senior,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,Part-time,<=50K
Senior,Local-gov,Bachelors,Widowed,Prof-specialty,Not-in-family,Black,Female,Middle,<=50K
Young-adult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,Part-time,<=50K
Middle-age,Self-emp-not-inc,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,Middle,<=50K
Mid-adult,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,Full-time,<=50K
Young-adult,Private,Assoc-acdm,Never-married,Other-service,Own-child,White,Female,Part-time,<=50K
Mid-adult,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Never-married,Other-service,Own-child,Black,Female,Full-time,<=50K
Mid-adult,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,White,Female,Full-time,<=50K
Middle-age,Private,Middle,Never-married,Handlers-cleaners,Not-in-family,Black,Male,Full-time,<=50K
Middle-age,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,Full-time,>50K
Senior,Private,HS,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Young-adult,Private,Middle,Married-civ-spouse,Handlers-cleaners,Partner,Other,Male,Full-time,<=50K
Middle-age,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,Partner,Other,Male,Insanity,<=50K
Middle-age,Self-emp-not-inc,Middle,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,Elementary,Married-civ-spouse,Transport-moving,Partner,White,Male,Part-time,<=50K
Middle-age,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,<=50K
Mid-adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Partner,White,Female,Part-time,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Young-adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Partner,White,Female,Full-time,<=50K
Middle-age,Private,HS,Married-civ-spouse,Sales,Partner,White,Male,Full-time,<=50K
Middle-age,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,Elementary,Married-civ-spouse,Sales,Partner,White,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Married-civ-spouse,Transport-moving,Partner,Black,Male,Full-time,<=50K
Senior,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Part-time,>50K
Senior,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Full-time,>50K
Senior,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Senior,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,>50K
Senior,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Partner,Black,Male,Full-time,>50K
Senior,Private,Some-college,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Senior,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,<=50K
Senior,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Part-time,<=50K
Middle-age,Private,Elementary,Married-civ-spouse,Machine-op-inspct,Partner,Asian-Pac-Islander,Female,Insanity,<=50K
Young-adult,Self-emp-not-inc,HS,Married-civ-spouse,Craft-repair,Own-child,White,Male,Full-time,<=50K
Mid-adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Middle-age,Federal-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,Full-time,<=50K
Senior,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,Asian-Pac-Islander,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Partner,White,Female,Full-time,<=50K
Mid-adult,Private,HS,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Young-adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Partner,White,Female,Part-time,<=50K
Mid-adult,Private,Some-college,Married-civ-spouse,Adm-clerical,Partner,White,Female,Full-time,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Young-adult,Private,Some-college,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Middle-age,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Partner,White,Male,Part-time,<=50K
Mid-adult,Private,Some-college,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,<=50K
Mid-adult,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Mid-adult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Married-civ-spouse,Sales,Partner,White,Male,Full-time,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Middle,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Young-adult,Private,Assoc-voc,Married-civ-spouse,Tech-support,Partner,White,Male,Full-time,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Senior,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Part-time,<=50K
Middle-age,Private,HS,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Full-time,<=50K
Middle-age,Private,Some-college,Married-civ-spouse,Sales,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Partner,White,Male,Part-time,<=50K
Young-adult,Private,Middle,Married-civ-spouse,Farming-fishing,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS,Married-civ-spouse,Craft-repair,Partner,White,Male,Middle,<=50K
Senior,Private,HS-grad,Married-civ-spouse,Protective-serv,Partner,White,Male,Middle,<=50K
Middle-age,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Middle-age,Local-gov,HS-grad,Married-civ-spouse,Other-service,Partner,White,Male,Full-time,<=50K
Middle-age,Private,Middle,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Full-time,<=50K
Middle-age,Private,HS,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
